"Will customers be notified prior to merger or acquisition?" ; "You will be notified on any change in ownership or uses of your Personal Information, as well as any choices you may have regarding your Personal Information."
"Do you have formally defined criteria for notifying a client during an incident that might impact the security of their data or systems? What are your SLAs for notification?" ; "Yes, priority will be given to fixing the problem client and if the incident impacts the security, confidentiality or integrity of your data you will be notified within 72hours, as also specified in GDPR. It remains in our company's discretion to notify you about minor security incidents that do not affect your data."
"What is your name?" ; "Hi I'm Cypher and I'm a bot created by Ryan Dervakos"
"Who is your creator?" ; "Ryan"
"Security of AWS datacenters?" ; "Security and compliance of AWS datacenter infrastructure is described in https://aws.amazon.com/compliance/data-center/data-centers/."
"Safe Media Disposal / Please detail your processes for the secure disposal of paper and computer equipment to protect sensitive/ confidential data." ; "We do not maintain in-house copies, all data are in the cloud, including backups. Our cloud providers maintain procedures and certifications for the safe disposal/destruction of media. Data are securely deleted and cannot be recovered. Data including backups are stored exclusively in the cloud at AWS S3 and AWS N. Virginia datacenter, certified with ISO 27001 also adhering to the NIST Special Publication 800-88 Revision 1 (http: //nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-88r1.pdf."
"Is there an Information Security Officer?" ; "Yes, leading the Security Team of the company."
"Please provide details of any physical security protocols or procedures you have in place for accessing systems with customer data." ; "Our servers are located at Amazon. All servers are protected by biometric locks and round-the-clock interior and exterior surveillance monitoring. Only authorized personnel have access to the data center. 24/7/365 onsite staff provides additional protection against unauthorized entry and security breaches. See https://aws.amazon.com/compliance/data-center/controls/"
"Please confirm who will have access to our data (e.g. employees, contractors etc.) (together your "Personnel")" ; "You should be aware that the administrator, as well as specially designated support personnel in order to provide support for technical issues you may face, may be able to: access information in and about your account; access communications history, including file attachments, for your account; disclose, restrict, or access information that you have provided or that is made available to you when using your account, including your Content; and control how your account may be accessed or deleted. We do not sell your Personal Information or Content and will not share or disclose any of your Personal Information or Content with third parties except as described in the privacy policy. We do not share Personal Information about you with third parties for their marketing purposes (including direct marketing purposes). Please see the Privacy Policy www. efrontlearning.com/privacy"
"Please confirm the purposes for which our data may be accessed by your Personnel." ; "All data you enter into the platform belongs to you. Only the administrator, as well as specially designated support personnel in order to provide support for technical issues you may face, may be able to: access information in and about your account; access communications history, including file attachments, for your account; disclose, restrict, or access information that you have provided or that is made available to you when using your account, including your Content; and control how your account may be accessed or deleted. The personnel accessing such information is subject to NDA - signed upon hire - and will not disclose or share your data with any third party or anyone else. Please refer to the Privacy Policy and DPA for details."
"How do you to ensure code is being developed securely?" ; "Following OWASP classification for threat analysis and security acceptance criteria that must be passed for code acceptance. Peer code review following OWASP Code Review Guide and Acunetix scan prior to code deployment. Code is never deployed to production if not passed QA (different engineers than developers). Third party tools such as Acunetix used to scan the code plus internal pen testing."
"Does your application use test or custom accounts during the development process? If so, how are those accounts removed and/or sanitized before the application is promoted to a production environment?" ; "Different environments used for development and customer access, accounts are not transferred to the production live systems and testing or development is never co-located with live production systems. (see also next answer)"
"Do you offer AD/LDAP/SSO integration options?" ; "We support SAML2.0 and LDAP; activating this is an option available for your domain administrator. All details and step-by-step guides are provided in the Knowledge base articles in https://support.efrontlearning.com/hc/en-us/articles/114094004651-How-to-perform-Single-sign-on- SSO-with-eFront"
"Does your organization require the use of multi-factor authentication for remote network connectivity?" ; "2-factor authentication for servers using pem files - SSH required to access the server structure, in a non-default port, and exclusively via PKI (public key infrastructure), interactive logins are disabled."
